20 76
0 9 41
0 3 114
1 6 14
1 3 53
1 19 60
2 18 39
2 5 51
2 3 102
2 19 120
2 6 82
3 19 15
3 17 53
4 9 13
4 10 84
5 3 52
5 19 34
5 6 51
6 17 58
6 19 28
7 2 49
7 13 28
7 17 132
7 19 212
7 15 48
8 3 174
8 19 52
8 10 108
8 6 48
9 1 21
9 17 54
9 10 30
10 19 112
10 17 92
10 6 42
10 3 30
11 2 59
11 19 40
11 5 84
11 1 72
12 4 52
12 7 34
12 11 15
12 6 56
12 19 210
12 16 39
12 13 104
12 17 100
12 18 57
12 5 48
12 3 132
12 15 90
13 10 52
13 17 33
13 5 26
14 0 29
14 16 14
14 8 29
14 7 36
14 6 128
14 9 56
14 11 32
14 17 265
14 2 108
14 5 39
15 19 72
15 17 72
15 5 34
16 15 38
16 5 104
16 6 84
16 10 86
16 19 168
18 3 58
18 19 44
18 6 24
18 17 80
