100 1485 
1 64 77
1 80 71
1 19 84
1 77 44
1 43 22
1 42 308
1 30 27
1 68 73
1 86 225
1 13 98
1 84 160
1 94 153
1 38 90
1 99 185
1 50 240
1 27 56
1 89 145
1 83 62
1 85 64
1 97 99
1 67 192
2 99 55
2 0 26
2 84 26
2 89 40
3 79 81
3 99 207
3 93 172
3 39 58
3 23 130
3 89 132
3 94 42
3 0 87
3 42 88
3 60 164
3 37 49
3 2 104
3 84 267
4 94 18
4 81 104
4 52 44
4 37 63
4 89 261
4 88 35
4 93 40
4 84 171
4 67 24
4 45 58
4 78 178
4 0 135
5 70 30
5 51 34
5 61 41
5 28 76
5 9 30
5 35 11
5 14 63
5 29 44
5 99 448
5 52 155
5 56 70
5 7 222
5 41 195
5 53 146
5 62 68
5 84 525
5 73 50
5 83 234
5 55 86
5 65 528
5 37 220
5 21 88
5 86 185
5 96 92
5 88 385
5 48 270
5 39 180
5 47 184
5 31 174
5 67 310
5 1 140
5 93 264
5 69 342
5 72 252
5 60 216
5 44 112
5 59 400
5 74 41
5 71 98
5 16 420
5 79 380
5 78 210
5 89 336
5 77 66
5 49 348
5 63 96
5 11 35
5 94 330
5 75 42
5 66 172
5 38 208
5 0 224
5 85 192
5 25 320
5 6 171
5 18 118
5 43 174
5 13 152
5 54 184
5 95 132
5 98 148
5 92 26
5 90 456
5 17 159
6 46 77
6 58 54
6 86 88
6 37 108
6 84 360
6 65 144
6 42 249
6 79 66
6 20 70
6 95 68
6 50 48
6 89 96
6 0 168
6 99 80
7 32 61
7 27 68
7 60 60
7 97 144
7 46 41
7 2 183
7 0 248
7 36 33
7 10 62
7 22 68
7 8 29
7 84 88
7 89 292
7 67 56
7 16 186
7 72 204
7 59 148
7 69 96
8 89 246
8 2 56
8 93 122
8 45 146
8 84 81
8 79 47
8 0 141
8 78 62
8 50 90
8 99 81
8 81 118
8 48 44
8 67 22
8 39 65
9 78 350
9 69 275
9 93 235
9 65 395
9 79 128
9 29 79
9 90 410
9 67 204
9 0 276
9 89 318
9 96 28
9 25 162
9 91 231
9 26 64
9 15 96
10 72 86
10 0 66
10 78 46
10 84 148
10 69 61
10 2 75
10 99 140
10 60 49
10 90 80
10 89 140
10 93 59
10 23 33
10 45 85
10 42 62
10 48 85
11 81 280
11 96 62
11 47 162
11 93 120
11 94 224
11 77 64
11 26 58
11 99 228
11 89 378
11 78 275
11 23 115
11 57 141
11 8 210
12 6 82
12 10 228
12 72 285
12 85 174
12 1 58
12 86 120
12 99 324
12 97 192
12 46 141
12 15 56
12 22 222
12 39 304
12 91 159
12 94 88
13 48 124
13 52 34
13 10 90
13 60 146
13 0 162
13 67 61
13 39 73
13 93 80
13 81 114
13 90 86
13 50 72
13 89 180
14 1 41
14 22 219
14 41 86
14 60 300
14 65 160
14 0 384
14 99 522
14 66 55
14 91 96
14 96 25
14 8 204
14 64 58
14 78 445
14 45 205
14 94 272
14 52 100
15 0 328
15 67 114
15 81 111
15 52 146
15 89 204
15 13 68
15 86 172
15 16 228
15 84 140
15 93 246
16 84 71
16 99 24
16 0 48
16 89 77
17 49 24
17 36 36
17 99 108
17 0 300
17 4 66
17 42 213
17 47 44
17 97 72
17 23 111
17 25 28
17 10 142
17 67 138
17 86 116
17 45 237
17 95 76
17 88 102
17 60 126
18 43 58
18 81 132
18 78 312
18 68 51
18 84 310
18 52 246
18 89 150
18 45 272
18 50 69
18 58 168
18 99 400
18 64 24
18 95 60
18 37 132
18 94 177
18 22 52
18 19 40
18 90 268
18 26 49
19 8 82
19 20 24
19 37 174
19 69 195
19 93 219
19 0 164
19 25 27
19 38 42
19 99 232
19 36 64
19 59 176
19 72 171
19 44 80
19 4 32
19 86 50
19 52 138
19 81 93
19 50 138
20 2 120
20 84 147
20 72 84
20 89 267
20 42 118
20 99 93
20 90 78
20 94 20
20 10 33
20 93 178
20 78 84
20 59 58
21 29 72
21 45 165
21 17 50
21 65 170
21 98 26
21 44 228
21 63 182
21 7 88
21 78 250
21 13 60
21 89 288
21 30 108
21 41 182
21 15 56
22 88 63
22 99 216
22 78 134
22 48 100
22 89 138
22 16 182
22 93 80
22 97 42
22 81 114
22 84 225
22 67 83
22 94 22
22 50 38
23 99 52
23 84 61
23 0 44
23 89 32
24 21 85
24 56 35
24 12 71
24 87 32
24 19 96
24 7 231
24 53 178
24 51 50
24 14 59
24 83 90
24 98 48
24 44 108
24 93 492
24 94 255
24 84 280
24 2 276
24 86 165
24 22 156
24 89 322
24 10 445
24 29 54
24 36 188
24 30 222
24 65 156
24 35 25
24 28 67
24 39 405
24 78 396
24 67 420
24 3 264
24 99 161
24 0 203
